WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
97485,Sunday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,11:00,12:00,Saturday,18:00,Sunday,05:10,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,12:00,13:00,Saturday,18:00,Sunday,05:11,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,13:00,14:00,Saturday,18:00,Sunday,05:12,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,14:00,15:00,Saturday,18:00,Sunday,05:13,1091 Eagle Vale BWS Campbellt,40,
97486,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,15:00,16:00,Saturday,23:00,Sunday,11:30,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,16:00,17:00,Saturday,23:00,Sunday,11:31,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,17:00,18:00,Saturday,23:00,Sunday,11:32,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,18:00,19:00,Saturday,23:00,Sunday,11:33,1091 Eagle Vale BWS Campbellt,40,
97487,Sunday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,14:00,15:00,Saturday,18:00,Sunday,05:11,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,15:00,16:00,Saturday,18:00,Sunday,05:12,1091 Eagle Vale BWS Campbellt,40,
97488,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,16:00,17:00,Saturday,23:00,Sunday,11:31,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,17:00,18:00,Saturday,23:00,Sunday,11:32,1091 Eagle Vale BWS Campbellt,40,
0,Sunday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,18:00,19:00,Saturday,23:00,Sunday,11:33,1091 Eagle Vale BWS Campbellt,40,
97489,Monday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,11:00,12:00,Sunday,18:00,Monday,05:10,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,12:00,13:00,Sunday,18:00,Monday,05:11,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,13:00,14:00,Sunday,18:00,Monday,05:12,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,14:00,15:00,Sunday,18:00,Monday,05:13,1091 Eagle Vale BWS Campbellt,40,
97490,Monday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,15:00,16:00,Sunday,23:00,Monday,11:30,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,16:00,17:00,Sunday,23:00,Monday,11:31,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,17:00,18:00,Sunday,23:00,Monday,11:32,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,18:00,19:00,Sunday,23:00,Monday,11:33,1091 Eagle Vale BWS Campbellt,40,
97491,Monday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,14:00,15:00,Sunday,18:00,Monday,05:11,1091 Eagle Vale BWS Campbellt,40,
0,Monday,1091 AM,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,15:00,16:00,Sunday,18:00,Monday,05:12,1091 Eagle Vale BWS Campbellt,40,
97492,Monday,1091 PM ,Pickup HubSpok,31/10/2017,31/12/2099,EAGLE VALE,HOMESHOP,16:00,17:00,Sunday,23:00,Monday,11:31,1091 Eagle Vale BWS Campbellt,40,
