WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
85490,Sunday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,16:00,17:00,Sunday,11:00,Sunday,14:30,1138 Casula LOCAL,40,
0,Sunday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,17:00,18:00,Sunday,11:00,Sunday,14:31,1138 Casula LOCAL,40,
0,Sunday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,18:00,19:00,Sunday,11:00,Sunday,14:32,1138 Casula LOCAL,40,
0,Sunday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,19:00,20:00,Sunday,11:00,Sunday,14:33,1138 Casula LOCAL,40,
87093,Sunday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,11:00,12:00,Saturday,23:00,Sunday,10:00,1138 Casula LOCAL,40,
0,Sunday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,12:00,13:00,Saturday,23:00,Sunday,10:01,1138 Casula LOCAL,40,
0,Sunday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,13:00,14:00,Saturday,23:00,Sunday,10:02,1138 Casula LOCAL,40,
0,Sunday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,14:00,15:00,Saturday,23:00,Sunday,10:03,1138 Casula LOCAL,40,
0,Sunday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,15:00,16:00,Saturday,23:00,Sunday,10:04,1138 Casula LOCAL,40,
85491,Monday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,16:00,17:00,Monday,11:00,Monday,14:30,1138 Casula LOCAL,40,
0,Monday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,17:00,18:00,Monday,11:00,Monday,14:31,1138 Casula LOCAL,40,
0,Monday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,18:00,19:00,Monday,11:00,Monday,14:32,1138 Casula LOCAL,40,
0,Monday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,19:00,20:00,Monday,11:00,Monday,14:33,1138 Casula LOCAL,40,
87094,Monday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,11:00,12:00,Sunday,23:00,Monday,10:00,1138 Casula LOCAL,40,
0,Monday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,12:00,13:00,Sunday,23:00,Monday,10:01,1138 Casula LOCAL,40,
0,Monday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,13:00,14:00,Sunday,23:00,Monday,10:02,1138 Casula LOCAL,40,
0,Monday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,14:00,15:00,Sunday,23:00,Monday,10:03,1138 Casula LOCAL,40,
0,Monday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,15:00,16:00,Sunday,23:00,Monday,10:04,1138 Casula LOCAL,40,
85492,Tuesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,16:00,17:00,Tuesday,11:00,Tuesday,14:30,1138 Casula LOCAL,40,
0,Tuesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,17:00,18:00,Tuesday,11:00,Tuesday,14:31,1138 Casula LOCAL,40,
0,Tuesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,18:00,19:00,Tuesday,11:00,Tuesday,14:32,1138 Casula LOCAL,40,
0,Tuesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,19:00,20:00,Tuesday,11:00,Tuesday,14:33,1138 Casula LOCAL,40,
87095,Tuesday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,11:00,12:00,Monday,23:00,Tuesday,10:00,1138 Casula LOCAL,40,
0,Tuesday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,12:00,13:00,Monday,23:00,Tuesday,10:01,1138 Casula LOCAL,40,
0,Tuesday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,13:00,14:00,Monday,23:00,Tuesday,10:02,1138 Casula LOCAL,40,
0,Tuesday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,14:00,15:00,Monday,23:00,Tuesday,10:03,1138 Casula LOCAL,40,
0,Tuesday,1138 CCMD,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,15:00,16:00,Monday,23:00,Tuesday,10:04,1138 Casula LOCAL,40,
85493,Wednesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,16:00,17:00,Wednesday,11:00,Wednesday,14:30,1138 Casula LOCAL,40,
0,Wednesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,17:00,18:00,Wednesday,11:00,Wednesday,14:31,1138 Casula LOCAL,40,
0,Wednesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,18:00,19:00,Wednesday,11:00,Wednesday,14:32,1138 Casula LOCAL,40,
0,Wednesday,1138 CCPM,Pickup Pickup,15/8/2017,31/12/2099,CASULA,HOMESHOP,19:00,20:00,Wednesday,11:00,Wednesday,14:33,1138 Casula LOCAL,40,
