WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
85497,Sunday,1139 CCPM,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,16:00,17:00,Sunday,11:00,Sunday,14:30,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCPM,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,17:00,18:00,Sunday,11:00,Sunday,14:31,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCPM,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,18:00,19:00,Sunday,11:00,Sunday,14:32,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCPM,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,19:00,20:00,Sunday,11:00,Sunday,14:33,1139 Belconnen LOCAL,10,
87100,Sunday,1139 CCMD,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,11:00,12:00,Saturday,23:00,Sunday,10:00,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCMD,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,12:00,13:00,Saturday,23:00,Sunday,10:01,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCMD,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,13:00,14:00,Saturday,23:00,Sunday,10:02,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCMD,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,14:00,15:00,Saturday,23:00,Sunday,10:03,1139 Belconnen LOCAL,10,
0,Sunday,1139 CCMD,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,15:00,16:00,Saturday,23:00,Sunday,10:04,1139 Belconnen LOCAL,10,
85498,Monday,1139 CCPM,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,16:00,17:00,Monday,11:00,Monday,14:30,1139 Belconnen LOCAL,10,
0,Monday,1139 CCPM,Pickup Pickup,15/8/2017,31/12/2099,BELCONNEN,HOMESHOP,17:00,18:00,Monday,11:00,Monday,14:31,1139 Belconnen LOCAL,10,
