WindowId,Day,Session,Method,Start Date,End Date,Fulfilment Centre,Fulfilment Type,Start Time,End Time,Web Cutoff Day,Web Cutoff Time,Pickup Day,Pickup Time,Region,Limit,IsDelete
85252,Sunday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,11:00,12:00,Saturday,23:00,Sunday,10:00,1089 Hawker LOCAL,10,
0,Sunday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,12:00,13:00,Saturday,23:00,Sunday,10:01,1089 Hawker LOCAL,10,
0,Sunday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,13:00,14:00,Saturday,23:00,Sunday,10:02,1089 Hawker LOCAL,10,
0,Sunday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,14:00,15:00,Saturday,23:00,Sunday,10:03,1089 Hawker LOCAL,10,
0,Sunday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,15:00,16:00,Saturday,23:00,Sunday,10:04,1089 Hawker LOCAL,10,
85259,Sunday,1089 CCPM,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,16:00,17:00,Sunday,11:00,Sunday,14:30,1089 Hawker LOCAL,10,
0,Sunday,1089 CCPM,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,17:00,18:00,Sunday,11:00,Sunday,14:31,1089 Hawker LOCAL,10,
0,Sunday,1089 CCPM,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,18:00,19:00,Sunday,11:00,Sunday,14:32,1089 Hawker LOCAL,10,
0,Sunday,1089 CCPM,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,19:00,20:00,Sunday,11:00,Sunday,14:33,1089 Hawker LOCAL,10,
85253,Monday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,11:00,12:00,Sunday,23:00,Monday,10:00,1089 Hawker LOCAL,10,
0,Monday,1089 CCMD,Pickup Pickup,14/8/2017,31/12/2099,HAWKER,HOMESHOP,12:00,13:00,Sunday,23:00,Monday,10:01,1089 Hawker LOCAL,10,
